GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 6 years:,Margin of Error; Male: - Under 6 years:,Estimate; Male: - Under 6 years: - With health insurance coverage,Margin of Error; Male: - Under 6 years: - With health insurance coverage,Estimate; Male: - Under 6 years: - No health insurance coverage,Margin of Error; Male: - Under 6 years: - No health insurance coverage,Estimate; Male: - 6 to 17 years:,Margin of Error; Male: - 6 to 17 years:,Estimate; Male: - 6 to 17 years: - With health insurance coverage,Margin of Error; Male: - 6 to 17 years: - With health insurance coverage,Estimate; Male: - 6 to 17 years: - No health insurance coverage,Margin of Error; Male: - 6 to 17 years: - No health insurance coverage,Estimate; Male: - 18 to 24 years:,Margin of Error; Male: - 18 to 24 years:,Estimate; Male: - 18 to 24 years: - With health insurance coverage,Margin of Error; Male: - 18 to 24 years: - With health insurance coverage,Estimate; Male: - 18 to 24 years: - No health insurance coverage,Margin of Error; Male: - 18 to 24 years: - No health insurance coverage,Estimate; Male: - 25 to 34 years:,Margin of Error; Male: - 25 to 34 years:,Estimate; Male: - 25 to 34 years: - With health insurance coverage,Margin of Error; Male: - 25 to 34 years: - With health insurance coverage,Estimate; Male: - 25 to 34 years: - No health insurance coverage,Margin of Error; Male: - 25 to 34 years: - No health insurance coverage,Estimate; Male: - 35 to 44 years:,Margin of Error; Male: - 35 to 44 years:,Estimate; Male: - 35 to 44 years: - With health insurance coverage,Margin of Error; Male: - 35 to 44 years: - With health insurance coverage,Estimate; Male: - 35 to 44 years: - No health insurance coverage,Margin of Error; Male: - 35 to 44 years: - No health insurance coverage,Estimate; Male: - 45 to 54 years:,Margin of Error; Male: - 45 to 54 years:,Estimate; Male: - 45 to 54 years: - With health insurance coverage,Margin of Error; Male: - 45 to 54 years: - With health insurance coverage,Estimate; Male: - 45 to 54 years: - No health insurance coverage,Margin of Error; Male: - 45 to 54 years: - No health insurance coverage,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - With health insurance coverage,Margin of Error; Male: - 55 to 64 years: - With health insurance coverage,Estimate; Male: - 55 to 64 years: - No health insurance coverage,Margin of Error; Male: - 55 to 64 years: - No health insurance coverage,Estimate; Male: - 65 to 74 years:,Margin of Error; Male: - 65 to 74 years:,Estimate; Male: - 65 to 74 years: - With health insurance coverage,Margin of Error; Male: - 65 to 74 years: - With health insurance coverage,Estimate; Male: - 65 to 74 years: - No health insurance coverage,Margin of Error; Male: - 65 to 74 years: - No health insurance coverage,Estimate; Male: - 75 years and over:,Margin of Error; Male: - 75 years and over:,Estimate; Male: - 75 years and over: - With health insurance coverage,Margin of Error; Male: - 75 years and over: - With health insurance coverage,Estimate; Male: - 75 years and over: - No health insurance coverage,Margin of Error; Male: - 75 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 6 years:,Margin of Error; Female: - Under 6 years:,Estimate; Female: - Under 6 years: - With health insurance coverage,Margin of Error; Female: - Under 6 years: - With health insurance coverage,Estimate; Female: - Under 6 years: - No health insurance coverage,Margin of Error; Female: - Under 6 years: - No health insurance coverage,Estimate; Female: - 6 to 17 years:,Margin of Error; Female: - 6 to 17 years:,Estimate; Female: - 6 to 17 years: - With health insurance coverage,Margin of Error; Female: - 6 to 17 years: - With health insurance coverage,Estimate; Female: - 6 to 17 years: - No health insurance coverage,Margin of Error; Female: - 6 to 17 years: - No health insurance coverage,Estimate; Female: - 18 to 24 years:,Margin of Error; Female: - 18 to 24 years:,Estimate; Female: - 18 to 24 years: - With health insurance coverage,Margin of Error; Female: - 18 to 24 years: - With health insurance coverage,Estimate; Female: - 18 to 24 years: - No health insurance coverage,Margin of Error; Female: - 18 to 24 years: - No health insurance coverage,Estimate; Female: - 25 to 34 years:,Margin of Error; Female: - 25 to 34 years:,Estimate; Female: - 25 to 34 years: - With health insurance coverage,Margin of Error; Female: - 25 to 34 years: - With health insurance coverage,Estimate; Female: - 25 to 34 years: - No health insurance coverage,Margin of Error; Female: - 25 to 34 years: - No health insurance coverage,Estimate; Female: - 35 to 44 years:,Margin of Error; Female: - 35 to 44 years:,Estimate; Female: - 35 to 44 years: - With health insurance coverage,Margin of Error; Female: - 35 to 44 years: - With health insurance coverage,Estimate; Female: - 35 to 44 years: - No health insurance coverage,Margin of Error; Female: - 35 to 44 years: - No health insurance coverage,Estimate; Female: - 45 to 54 years:,Margin of Error; Female: - 45 to 54 years:,Estimate; Female: - 45 to 54 years: - With health insurance coverage,Margin of Error; Female: - 45 to 54 years: - With health insurance coverage,Estimate; Female: - 45 to 54 years: - No health insurance coverage,Margin of Error; Female: - 45 to 54 years: - No health insurance coverage,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - With health insurance coverage,Margin of Error; Female: - 55 to 64 years: - With health insurance coverage,Estimate; Female: - 55 to 64 years: - No health insurance coverage,Margin of Error; Female: - 55 to 64 years: - No health insurance coverage,Estimate; Female: - 65 to 74 years:,Margin of Error; Female: - 65 to 74 years:,Estimate; Female: - 65 to 74 years: - With health insurance coverage,Margin of Error; Female: - 65 to 74 years: - With health insurance coverage,Estimate; Female: - 65 to 74 years: - No health insurance coverage,Margin of Error; Female: - 65 to 74 years: - No health insurance coverage,Estimate; Female: - 75 years and over:,Margin of Error; Female: - 75 years and over:,Estimate; Female: - 75 years and over: - With health insurance coverage,Margin of Error; Female: - 75 years and over: - With health insurance coverage,Estimate; Female: - 75 years and over: - No health insurance coverage,Margin of Error; Female: - 75 years and over: - No health insurance coverage
0400000US01,01,Alabama,4761291,732,2288427,1556,179288,1451,174170,1635,5118,598,382809,1505,367882,1729,14927,1065,231160,926,178100,1860,53060,1720,292328,1195,211927,2298,80401,2166,282613,1124,224579,1920,58034,1747,310273,868,261601,1479,48672,1422,296018,571,268083,1183,27935,1182,197762,483,196533,505,1229,227,116176,510,115943,504,233,118,2472864,1449,173047,1455,168091,1535,4956,629,368184,1507,354074,1859,14110,1071,234018,618,190501,1655,43517,1609,316324,688,247617,2115,68707,2058,308489,847,255225,1526,53264,1417,336338,623,291951,1610,44387,1526,328004,513,295339,1197,32665,1141,231560,502,230362,495,1198,256,176900,650,176395,646,505,179
0400000US02,02,Alaska,712964,791,365170,814,33286,408,29567,534,3719,443,62974,450,55183,710,7791,632,37509,617,26765,797,10744,627,54211,630,38321,800,15890,801,44654,474,34776,847,9878,735,50490,324,39857,637,10633,570,48216,307,41250,439,6966,376,23889,227,23571,243,318,95,9941,231,9827,224,114,97,347794,549,32090,505,28742,669,3348,436,58810,501,52079,748,6731,596,33238,286,26004,453,7234,418,53318,427,41127,775,12191,682,43634,285,35282,611,8352,514,47214,246,38535,521,8679,480,45136,224,37611,572,7525,548,22438,247,22004,267,434,151,11916,197,11865,195,51,38
0400000US04,04,Arizona,6620233,859,3252267,1584,265859,1461,243996,1561,21863,1120,558867,1528,498574,2404,60293,1962,329247,947,245094,2227,84153,2098,434241,1029,318942,2609,115299,2442,401160,789,316856,2300,84304,2259,404160,851,331405,1964,72755,1933,371430,496,325145,1690,46285,1582,290374,454,286778,622,3596,428,196929,288,195837,380,1092,204,3367966,1281,257914,1482,236132,1771,21782,1158,534809,1517,477562,1994,57247,1741,320217,289,254986,1835,65231,1869,432892,820,355653,2139,77239,2002,412064,422,341302,1848,70762,1731,422580,303,356850,1789,65730,1813,416376,258,367892,1363,48484,1361,326702,323,322516,506,4186,454,244412,400,242634,513,1778,305
0400000US05,05,Arkansas,2915402,431,1421494,1153,118165,1107,112491,1264,5674,576,242025,1295,229984,1487,12041,932,141960,736,107185,1321,34775,1236,183053,967,133962,1764,49091,1548,175621,727,137489,1415,38132,1490,184748,702,153533,1130,31215,1086,175048,561,156607,990,18441,904,124105,388,123618,410,487,165,76769,381,76592,394,177,82,1493908,1109,111961,1072,107134,1227,4827,634,232742,1090,220699,1336,12043,906,140284,599,110851,1383,29433,1235,190966,817,148821,1452,42145,1363,183218,733,151297,1281,31921,1184,194973,601,166515,1345,28458,1246,191479,447,172040,950,19439,909,141442,449,140503,464,939,239,106843,544,106509,546,334,141
0400000US06,06,California,38151997,2141,18807653,2395,1535655,3523,1476984,3936,58671,2082,3121077,3645,2928802,5278,192275,4187,1959543,1674,1529397,5136,430146,5238,2817049,2060,2094246,6291,722803,6158,2516674,1448,1996784,6482,519890,6374,2547207,1243,2128088,5131,419119,4976,2150004,1070,1892026,4305,257978,4155,1297812,829,1275181,1378,22631,1171,862632,700,855737,879,6895,597,19344344,1858,1464842,3584,1405862,4045,58980,2010,3003410,3567,2819171,4578,184239,3901,1901534,1001,1567439,4089,334095,4137,2762558,1115,2269360,5475,493198,5331,2563407,925,2148614,4995,414793,5059,2611003,723,2230447,3694,380556,3634,2317112,632,2049888,3793,267224,3756,1498258,787,1468732,1500,29526,1253,1222220,1074,1211046,1284,11174,806
0400000US08,08,Colorado,5267878,1106,2618256,1366,207557,1225,198008,1377,9549,739,428359,1409,398907,2104,29452,1514,256995,849,209559,1572,47436,1408,389773,1162,300227,2408,89546,2301,357753,873,295633,1726,62120,1685,350600,716,302956,1662,47644,1590,324908,507,295061,1091,29847,1004,194084,413,192528,494,1556,301,108227,416,107593,463,634,180,2649622,1053,196913,1512,187106,1598,9807,708,411292,1494,382466,1732,28826,1287,247345,668,211300,1696,36045,1626,382152,719,324196,1767,57956,1755,350342,528,302732,1455,47610,1459,358905,532,318277,1454,40628,1382,341974,437,311026,1201,30948,1128,211536,470,209605,522,1931,320,149163,537,148488,547,675,202
0400000US09,09,Connecticut,3535139,480,1716952,746,116579,964,113248,1028,3331,428,278231,1011,268448,1296,9783,784,173324,499,150831,1350,22493,1299,212544,643,174763,1317,37781,1327,209645,497,182172,1207,27473,1218,261563,434,237719,1025,23844,1001,233255,345,217572,924,15683,944,139146,318,138230,411,916,235,92665,380,92179,416,486,163,1818187,664,112950,1121,109039,1247,3911,523,264862,1110,254783,1449,10079,907,167722,332,152025,1119,15697,1081,216693,346,192467,1017,24226,983,223971,302,205458,985,18513,937,280048,278,260116,1106,19932,1081,250333,251,234788,735,15545,726,160813,301,159132,411,1681,325,140795,522,139954,511,841,212
0400000US10,10,Delaware,920268,365,442158,427,34137,503,32842,573,1295,263,69260,504,66154,647,3106,472,43095,238,37421,581,5674,582,57875,287,46870,799,11005,818,52057,220,45121,657,6936,662,61216,162,55658,563,5558,551,57517,108,53524,458,3993,438,41734,129,41398,192,336,138,25267,144,24989,190,278,126,478110,254,32913,555,31946,616,967,269,67475,513,64557,710,2918,488,44352,204,40431,527,3921,447,61110,192,54134,604,6976,569,56599,147,51885,513,4714,516,67135,91,61402,526,5733,520,65659,80,61181,476,4478,475,48268,84,47720,189,548,156,34599,197,34258,262,341,178
0400000US11,11,District of Columbia,648263,241,304461,337,25103,404,24677,453,426,141,32517,407,31591,446,926,237,35184,269,31927,544,3257,451,68270,271,61916,672,6354,649,44820,213,40847,483,3973,442,37727,180,34615,459,3112,423,31418,230,29435,407,1983,331,18199,168,18083,190,116,74,11223,173,11105,237,118,153,343802,299,23986,380,23554,424,432,159,32823,369,32193,419,630,196,43899,127,41990,305,1909,309,78933,179,75197,433,3736,408,46438,88,44307,355,2131,328,38020,122,35676,372,2344,349,36433,118,34733,263,1700,252,23782,97,23610,124,172,83,19488,199,19388,207,100,75
