Name_x,Code20,Rank20,Namey,Rank11,Share20,Share11,Rankchange,Sharechange
Nationwide,140,5,Nationwide,54,4.88,0.14,-49,4.74
Apollo,4734,6,Apollo,66,4.66,0.07,-60,4.59
MassMutual,435,10,MassMutual,23,3.57,1.06,-13,2.51
Global Atlantic,3891,16,Global Atlantic,73,2.29,0.05,-57,2.24
TIAA,1216,2,TIAA,6,5.91,4.36,-4,1.55
Sammons Financial,431,12,Sammons Financial,15,3.29,1.86,-3,1.43
New York Life,826,7,New York Life,9,4.35,3.1,-2,1.25
Pacific Life,709,14,Pacific Life,14,2.96,2.01,0,0.95
Principal Financial,332,23,Principal Financial,31,1.43,0.63,-8,0.8
OneAmerica,619,22,OneAmerica,22,1.45,1.06,0,0.39
Great West,769,17,Great West,17,2.09,1.72,0,0.37
Lincoln,20,3,Lincoln,5,5.87,5.51,-2,0.36
American Financial,84,24,American Financial,20,1.41,1.22,4,0.19
Allianz,761,11,Allianz,7,3.42,4.06,4,-0.64
American Equity,2658,25,American Equity,13,1.27,2.01,12,-0.74
Ameriprise,4,20,Ameriprise,11,1.48,2.75,9,-1.27
AIG,12,4,AIG,4,5.25,6.63,0,-1.38
Jackson National,918,1,Jackson National,3,6.29,7.82,-2,-1.53
Prudential,304,13,Prudential,2,3.14,8.92,11,-5.78
MetLife,241,18,MetLife,1,1.93,14.45,17,-12.52
