State,Passed,Effective Date,Bill,Content,Lat,Lon
Alabama,2,1/1/21,Proposed Regulation 482-1-137,The regulation follows the NAIC's model regulation: agents must act in the consumer’s best interest.,32.32,-86.90
Arizona,2,1/1/21,SB 1557 ,The state has enacted a best interest standard for agents who recommend an annuity to their customers.,34.05,-111.09
Arkansas,2,12/29/20,Amended Final Rule 82 ,The state has amended its Suitability in Annuity Transactions Rule to adopt the NAIC’s model standard.,35.20,-91.83
Delaware,2,8/1/21,Amended Regulation 1214 ,The state amended its Suitability in Annuity Transactions Regulation to adopt the NAIC’s model standard.,38.91,-75.53
Idaho,2,7/1/21,House Bill 79,"Brokers, investment advisors and other financial professionals must put consumers’ interests first when recommending annuities.",44.07,-114.74
Iowa,2,1/1/21,SB 1557 ,The state has enacted a best interest standard for agents who recommend an annuity to their customers.,41.88,-93.10
Kentucky,2,"July, 2021",Proposed Regulation 12:120 ,The state has proposed a rule amending its Suitability in Annuity Transactions Regulation to adopt the NAIC’s model standard.,37.84,-84.27
Maine,1,Not specified,Proposed Rule Chapter 917 ,The state has proposed a rule amending its Suitability in Annuity Transactions Regulation to adopt the NAIC’s model standard.,45.25,-69.45
Maryland,3,None,The Financial Protection Act of 2019 ,"The state rejected a bill imposing a fiduciary standard on brokers and insurance representatives “to act in the best interest of the customer.",39.05,-76.64
Massachusetts,2,3/1/20,,Broker-dealers and broker-dealer agents must put a customer’s interests first with investment advice and recommendations.,43.00,-71.38
Michigan,2,6/29/21,Public Act No. 266 (2020) ,The state has amended Chapter 41A of its insurance code to adopt the NAIC’s model suitability standard.,44.31,-85.60
Nebraska,2,1/1/22,Legislative Bill 22 ,The state has amended the Nebraska Protection in Annuity Transactions Act to adopt the NAIC’s model suitability standard.,41.49,-99.90
New Jersey,1,Not specified,,"In April 2019, a fiduciary rule was proposed to apply to all investment professionals registered in the state. ",40.06,-77.19
New York,2,"Aug. 1, 2019 (annuities) and Feb. 1, 2020 (life insurance)",Regulation 187,Financial service providers must consider clients’ interests first when recommending annuities. Broker-dealers must meet new disclosure and training requirements. Annuity sellers can’t call themselves advisors unless licensed as such.,40.71,-74.01
North Dakota,1,Not specified,House Bill 1160 ,The state has proposed an amendment to its annuity transaction practices law to adopt the NAIC’s model suitability standard.,47.55,-101.00
Ohio,1,Not specified,Proposed Rule 3901-6-13 ,The state has proposed a rule amending its Suitability in Annuity Transactions Rule to adopt the NAIC’s model standard.,40.42,-82.91
Rhode Island,2,4/1/21,Final Regulation 230-RICR-20- 25-1 ,The regulation follows the NAIC's model regulation: agents must act in the consumer’s best interest.,41.58,-71.48
Alaska,0,,,,,
California,0,,,,,
Colorado,0,,,,,
Connecticut,0,,,,,
District of Columbia,0,,,,,
Florida,0,,,,,
Georgia,0,,,,,
Hawaii,0,,,,,
Illinois,0,,,,,
Indiana,0,,,,,
Kansas,0,,,,,
Louisiana,0,,,,,
Minnesota,0,,,,,
Mississippi,0,,,,,
Missouri,0,,,,,
Montana,0,,,,,
Nevada,0,,,,,
New Hampshire,0,,,,,
New Mexico,0,,,,,
North Carolina,0,,,,,
Oklahoma,0,,,,,
Oregon,0,,,,,
Pennsylvania,0,,,,,
Puerto Rico,0,,,,,
South Carolina,0,,,,,
South Dakota,0,,,,,
Tennessee,0,,,,,
Texas,0,,,,,
Utah,0,,,,,
Vermont,0,,,,,
Virginia,0,,,,,
Washington,0,,,,,
West Virginia,0,,,,,
Wisconsin,0,,,,,
Wyoming,0,,,,,
