state, party
Alabama,r
Alaska,r
Arizona,r
Arkansas,r
Georgia,r
Idaho,r
Kansas,r
Kentucky,r
Louisiana,r
Mississippi,r
Missouri,r
Montana,r
Nebraska,r
North Dakota,r
Oklahoma,r
South Carolina,r
South Dakota,r
Tennessee,r
Texas,r
Utah,r
West Virginia,r
Wyoming,r
California,d
Connecticut,d
Hawaii,d
Illinois,d
Maine,d
Maryland,d
Massachusetts,d
Michigan,d
Minnesota,d
New Jersey,d
New York,d
Oregon,d
Rhode Island,d
Vermont,d
District of Columbia,d
Washington,d
Colorado,n
Florida,n
Iowa,n
Michigan,n
Minnesota,n
Ohio,n
Nevada,n
New Hampshire,n
North Carolina,n
Pennsylvania,n
Virginia,n
Wisconsin,n
