GEO.id,GEO.id2_x,state,uninsured adult male,uninsured adult female,uninsured total,GEO.id2_y,GEO.display-label_y,adult male,adult female,total,uninsured rate,male,female,gap
0400000US48,48,Texas,2225730,2100240,4325970,48,Texas,13235610,13720825,26956435,16,17,15,2
0400000US12,12,Florida,1520037,1319802,2839839,12,Florida,9628340,10306111,19934451,14,16,13,3
0400000US13,13,Georgia,708650,662897,1371547,13,Georgia,4847674,5251646,10099320,14,15,13,2
0400000US22,22,Louisiana,305860,281763,587623,22,Louisiana,2239213,2406457,4645670,13,14,12,2
0400000US40,40,Oklahoma,267387,244927,512314,40,Oklahoma,1899039,1976550,3875589,13,14,12,2
0400000US32,32,Nevada,202331,175704,378035,32,Nevada,1419586,1419586,2839172,13,14,12,2
0400000US02,02,Alaska,54543,44453,98996,2,Alaska,387586,349269,736855,13,14,13,1
0400000US28,28,Mississippi,200667,185020,385687,28,Mississippi,1428834,1560358,2989192,13,14,12,2
0400000US30,30,Montana,63726,55432,119158,30,Montana,510672,512719,1023391,12,12,11,1
0400000US45,45,South Carolina,300413,265706,566119,45,South Carolina,2315776,2518829,4834605,12,13,11,2
0400000US37,37,North Carolina,618826,544104,1162930,37,North Carolina,4761657,5179171,9940828,12,13,11,2
0400000US35,35,New Mexico,140451,119159,259610,35,New Mexico,1020508,1062161,2082669,12,14,11,3
0400000US56,56,Wyoming,33716,29496,63212,56,Wyoming,296179,286850,583029,11,11,10,1
0400000US01,01,Alabama,269564,243917,513481,1,Alabama,2309235,2531929,4841164,11,12,10,2
0400000US04,04,Arizona,407484,331937,739421,4,Arizona,3317188,3411389,6728577,11,12,10,2
0400000US06,06,California,2379462,1920198,4299660,6,California,19017869,19636337,38654206,11,13,10,3
0400000US05,05,Arkansas,172318,152476,324794,5,Arkansas,1436740,1531732,2968472,11,12,10,2
0400000US16,16,Idaho,97943,89118,187061,16,Idaho,812835,822648,1635483,11,12,11,1
0400000US18,18,Indiana,337020,295395,632415,18,Indiana,3209124,3380454,6589578,10,11,9,2
0400000US29,29,Missouri,308469,277060,585529,29,Missouri,2932871,3126780,6059651,10,11,9,2
0400000US47,47,Tennessee,379131,304982,684113,47,Tennessee,3149592,3398417,6548009,10,12,9,3
0400000US53,53,Washington,345296,270487,615783,53,Washington,3501207,3571939,7073146,9,10,8,2
0400000US46,46,South Dakota,40588,33381,73969,46,South Dakota,425529,425529,851058,9,10,8,2
0400000US20,20,Kansas,135342,122563,257905,20,Kansas,1428858,1469434,2898292,9,9,8,1
0400000US17,17,Illinois,642979,493010,1135989,17,Illinois,6233067,6618617,12851684,9,10,7,3
0400000US54,54,West Virginia,88082,74028,162110,54,West Virginia,904585,941507,1846092,9,10,8,2
0400000US41,41,Oregon,205056,165177,370233,41,Oregon,1951311,2030956,3982267,9,11,8,3
0400000US08,08,Colorado,278783,215320,494103,8,Colorado,2674288,2685007,5359295,9,10,8,2
0400000US49,49,Utah,144902,128195,273097,49,Utah,1468317,1480110,2948427,9,10,9,1
0400000US34,34,New Jersey,467778,378197,845975,34,New Jersey,4288334,4627122,8915456,9,11,8,3
0400000US51,51,Virginia,405878,358045,763923,51,Virginia,4038806,4271495,8310301,9,10,8,2
0400000US26,26,Michigan,420543,324000,744543,26,Michigan,4816066,5093534,9909600,8,9,6,3
0400000US36,36,New York,886074,642426,1528500,36,New York,9415384,10282073,19697457,8,9,6,3
0400000US33,33,New Hampshire,55916,45727,101643,33,New Hampshire,651804,675699,1327503,8,9,7,2
0400000US21,21,Kentucky,200231,168132,368363,21,Kentucky,2144227,2267762,4411989,8,9,7,2
0400000US31,31,Nebraska,82754,71688,154442,31,Nebraska,925579,955680,1881259,8,9,8,1
0400000US23,23,Maine,62422,47687,110109,23,Maine,643683,686240,1329923,8,10,7,3
0400000US38,38,North Dakota,27780,21568,49348,38,North Dakota,376915,359247,736162,7,7,6,1
0400000US39,39,Ohio,477170,369804,846974,39,Ohio,5596493,5990448,11586941,7,9,6,3
0400000US42,42,Pennsylvania,489128,379445,868573,42,Pennsylvania,6174661,6609316,12783977,7,8,6,2
0400000US44,44,Rhode Island,44371,31173,75544,44,Rhode Island,504047,550444,1054491,7,9,6,3
0400000US24,24,Maryland,239425,185304,424729,24,Maryland,2842873,3117029,5959902,7,8,6,2
0400000US55,55,Wisconsin,205593,148906,354499,55,Wisconsin,2837115,2917683,5754798,6,7,5,2
0400000US09,09,Connecticut,128676,95806,224482,9,Connecticut,1726102,1862468,3588570,6,7,5,2
0400000US10,10,Delaware,33780,26548,60328,10,Delaware,445850,488845,934695,6,8,5,3
0400000US72,72,Puerto Rico,122104,73447,195551,72,Puerto Rico,1651752,1877633,3529385,6,7,4,3
0400000US19,19,Iowa,95371,74176,169547,19,Iowa,1528442,1578147,3106589,5,6,5,1
0400000US50,50,Vermont,18593,11543,30136,50,Vermont,305610,320639,626249,5,6,4,2
0400000US11,11,District of Columbia,18913,12067,30980,11,District of Columbia,308416,350593,659009,5,6,3,3
0400000US27,27,Minnesota,160898,113509,274407,27,Minnesota,2687278,2763590,5450868,5,6,4,2
0400000US15,15,Hawaii,35142,27245,62387,15,Hawaii,705423,708250,1413673,4,5,4,1
0400000US25,25,Massachusetts,121660,74015,195675,25,Massachusetts,3222744,3519399,6742143,3,4,2,2
